"DATE","TIME PERIOD","(LFSI.M.I9.S.UNEHRT.TOTAL0.15_74.T)"
"2023-03-31","2023Mar","6.549142"
"2023-04-30","2023Apr","6.527143"
"2023-05-31","2023May","6.503218"
"2023-06-30","2023Jun","6.495776"
"2023-07-31","2023Jul","6.561386"
"2023-08-31","2023Aug","6.532132"
"2023-09-30","2023Sep","6.565834"
"2023-10-31","2023Oct","6.565973"
"2023-11-30","2023Nov","6.535256"
"2023-12-31","2023Dec","6.510797"
"2024-01-31","2024Jan","6.529009"
"2024-02-29","2024Feb","6.534123"
"2024-03-31","2024Mar","6.469212"
"2024-04-30","2024Apr","6.401454"
