"DATE","TIME PERIOD","HICP - Overall index (ICP.M.U2.N.000000.4.ANR)"
"2010-01-31","2010Jan","0.9"
"2010-02-28","2010Feb","0.8"
"2010-03-31","2010Mar","1.6"
"2010-04-30","2010Apr","1.6"
"2010-05-31","2010May","1.7"
"2010-06-30","2010Jun","1.5"
"2010-07-31","2010Jul","1.7"
"2010-08-31","2010Aug","1.6"
"2010-09-30","2010Sep","1.9"
"2010-10-31","2010Oct","1.9"
"2010-11-30","2010Nov","1.9"
"2010-12-31","2010Dec","2.2"
"2011-01-31","2011Jan","2.3"
"2011-02-28","2011Feb","2.4"
"2011-03-31","2011Mar","2.7"
"2011-04-30","2011Apr","2.8"
"2011-05-31","2011May","2.7"
"2011-06-30","2011Jun","2.7"
"2011-07-31","2011Jul","2.6"
"2011-08-31","2011Aug","2.5"
"2011-09-30","2011Sep","3.0"
"2011-10-31","2011Oct","3.0"
"2011-11-30","2011Nov","3.0"
"2011-12-31","2011Dec","2.8"
"2012-01-31","2012Jan","2.7"
"2012-02-29","2012Feb","2.7"
"2012-03-31","2012Mar","2.7"
"2012-04-30","2012Apr","2.6"
"2012-05-31","2012May","2.4"
"2012-06-30","2012Jun","2.4"
"2012-07-31","2012Jul","2.4"
"2012-08-31","2012Aug","2.6"
"2012-09-30","2012Sep","2.6"
"2012-10-31","2012Oct","2.5"
"2012-11-30","2012Nov","2.2"
"2012-12-31","2012Dec","2.2"
"2013-01-31","2013Jan","2.0"
"2013-02-28","2013Feb","1.9"
"2013-03-31","2013Mar","1.7"
"2013-04-30","2013Apr","1.2"
"2013-05-31","2013May","1.4"
"2013-06-30","2013Jun","1.6"
"2013-07-31","2013Jul","1.6"
"2013-08-31","2013Aug","1.3"
"2013-09-30","2013Sep","1.1"
"2013-10-31","2013Oct","0.7"
"2013-11-30","2013Nov","0.9"
"2013-12-31","2013Dec","0.8"
"2014-01-31","2014Jan","0.8"
"2014-02-28","2014Feb","0.7"
"2014-03-31","2014Mar","0.5"
"2014-04-30","2014Apr","0.7"
"2014-05-31","2014May","0.5"
"2014-06-30","2014Jun","0.5"
"2014-07-31","2014Jul","0.4"
"2014-08-31","2014Aug","0.4"
"2014-09-30","2014Sep","0.3"
"2014-10-31","2014Oct","0.4"
"2014-11-30","2014Nov","0.3"
"2014-12-31","2014Dec","-0.2"
"2015-01-31","2015Jan","-0.6"
"2015-02-28","2015Feb","-0.3"
"2015-03-31","2015Mar","-0.1"
"2015-04-30","2015Apr","0.2"
"2015-05-31","2015May","0.6"
"2015-06-30","2015Jun","0.5"
"2015-07-31","2015Jul","0.5"
"2015-08-31","2015Aug","0.4"
"2015-09-30","2015Sep","0.2"
"2015-10-31","2015Oct","0.4"
"2015-11-30","2015Nov","0.1"
"2015-12-31","2015Dec","0.3"
"2016-01-31","2016Jan","0.3"
"2016-02-29","2016Feb","-0.1"
"2016-03-31","2016Mar","0.0"
"2016-04-30","2016Apr","-0.3"
"2016-05-31","2016May","-0.1"
"2016-06-30","2016Jun","0.0"
"2016-07-31","2016Jul","0.2"
"2016-08-31","2016Aug","0.2"
"2016-09-30","2016Sep","0.4"
"2016-10-31","2016Oct","0.5"
"2016-11-30","2016Nov","0.6"
"2016-12-31","2016Dec","1.1"
"2017-01-31","2017Jan","1.7"
